facet_id,facet_name,category,polarity,definition,scale_1,scale_2,scale_3,scale_4,scale_5
F0193,Intellect,cognitive,positive,"The measurable trait/behavior that reflects a person's intellectual capacity, including their ability to reason, understand complex ideas, and engage in abstract thinking.",Intellect is not present. The individual shows no signs of engaging in deep or complex thought processes.,Slight presence. The individual occasionally engages in simple problem-solving but does not demonstrate advanced intellectual capabilities.,"Moderate presence. The individual frequently demonstrates the ability to understand and apply abstract concepts, engage in critical thinking, and solve problems of moderate complexity.","Strong presence. The individual consistently exhibits a high level of intellectual engagement, capable of handling complex ideas and engaging in sophisticated problem-solving.","Very strong presence. The individual is exceptionally intellectually adept, excelling in various forms of reasoning and understanding intricate concepts with ease."
F0194,Use of Mathematical Formulas,cognitive,neutral,The frequency and appropriateness of mathematical formulas used in a conversation.,"absent / not present, the speaker does not use any mathematical formulas.","slight / faint trace, the speaker occasionally mentions mathematical formulas but they are not central to the conversation.","moderate / clearly present, the speaker frequently uses mathematical formulas and these formulas are integral to the discussion.","strong / prominent, the speaker consistently employs complex mathematical formulas and these formulas significantly influence the conversation's content and flow.","very strong / dominant, the speaker relies heavily on advanced mathematical formulas, often at the expense of clarity or relevance to other topics in the conversation."
F0195,Coarseness,behavioral,negative,"Measurable trait/behavior indicating a tendency towards coarse language, actions, or attitudes in conversation.","A very strong / dominant level: The individual uses crude and vulgar language frequently, displays aggressive body language, and has a dismissive attitude towards others' feelings.","A strong / prominent level: The individual occasionally uses coarse language or displays physical aggression, but not consistently; shows indifference to others' reactions.","A moderate / clearly present level: The individual sometimes uses crude language and has a generally dismissive attitude towards others, though it is not frequent or intense.",A slight / faint trace level: The individual occasionally uses coarse language in conversation but does not display physical aggression; shows some consideration for others' feelings.,"Absent / not present level: The individual avoids using crude language and displays a respectful attitude towards others, even during disagreements."
F0196,Behavioral Tendencies and Subcomponents,behavioral,positive,"Measurable trait/behavior observed in how a person speaks, encompassing various aspects of their habitual actions and tendencies.",absent / not present - The individual shows no observable behavioral tendencies or habits in the conversation.,"slight / faint trace - The individual mentions very minor, barely noticeable behaviors or tendencies that are not prominent in their speech.",moderate / clearly present - The individual speaks with clear and consistent patterns of behavior that are noticeable but do not dominate the conversation.,"strong / prominent - The individual's speech is heavily influenced by observable behavioral tendencies, which significantly impact their communication style.",very strong / dominant - The individual's speech is dominated by a clear and consistent set of behavioral tendencies that are highly noticeable and influential in the conversation.
F0197,Sensitivity,emotion,positive,"Measurable trait/behavior indicating a person's responsiveness to emotional stimuli and their own emotions, including self-awareness and empathy.","Absent / not present - The individual is generally indifferent to both their own and others' emotional states. They do not easily recognize or respond to emotional cues in conversations, nor do they experience strong emotions themselves unless provoked by significant events.","Slight / faint trace - The individual has a slight awareness of their own emotions but does not typically show sensitivity to others' emotions. They might notice when they are feeling particularly happy or sad, but this doesn't significantly impact their interactions with others.","Moderate / clearly present - The individual shows a moderate level of sensitivity to both others' and their own emotions. They may notice subtle shifts in mood or tone during conversations and can feel deeply affected by the emotional content of what is said, even if it's not explicitly stated.","Strong / prominent - The individual is noticeably sensitive to their own emotions, sometimes experiencing strong emotional reactions to minor events or situations. They might find themselves easily moved by music, art, or other forms of expression that evoke deep feelings within them.","Very strong / dominant - The individual shows an extremely heightened sensitivity to others' emotions, often experiencing intense empathetic responses that can be overwhelming or distressing. They may have a highly attuned emotional radar, noticing subtle cues in others' moods and expressions."
F0198,Divided Attention Ability,cognitive,positive,The capacity to maintain and switch between multiple cognitive tasks or attentional resources during a conversation.,"absent / not present, the speaker does not show any signs of managing divided attention in their speech.","slight / faint trace, the speaker mentions trying to focus on multiple tasks but often gets distracted or loses track of one task.","moderate / clearly present, the speaker shows some effort to manage multiple tasks and occasionally manages to keep them in balance without significant disruption.","strong / prominent, the speaker demonstrates effective management of divided attention, often switching between tasks smoothly and maintaining focus on each task for extended periods.","very strong / dominant, the speaker shows exceptional ability to manage multiple tasks simultaneously with minimal disruption, appearing highly efficient and focused in their speech."
F0199,Psychological construct: Acculturative Stress score,safety,negative,"A measurable trait/behavior that reflects an individual's psychological response to cultural adaptation and change, including stressors related to acculturation.",Acculturative Stress score: 1 = absent / not present. The individual shows no signs of experiencing or acknowledging any stress related to cultural adaptation.,Acculturative Stress score: 2 = slight / faint trace. The individual acknowledges a minor level of stress but does not perceive it as significant enough to warrant attention or intervention.,"Acculturative Stress score: 3 = moderate / clearly present. The individual recognizes the presence of stress related to cultural adaptation and may experience mild discomfort or anxiety, but these feelings are manageable within their daily life.","Acculturative Stress score: 4 = strong / prominent. The individual experiences significant levels of stress due to cultural adaptation, often manifesting in physical symptoms, emotional distress, or behavioral changes that affect their daily functioning.","Acculturative Stress score: 5 = very strong / dominant. The individual is overwhelmed by stress related to cultural adaptation, experiencing severe anxiety, depression, and may exhibit maladaptive coping mechanisms such as avoidance behaviors or substance use."
F0200,Dauntlessness,behavioral,positive,"Dauntlessness refers to a person's tendency towards boldness, courage in the face of danger or adversity, and willingness to take risks.",Shows no inclination towards taking risks or facing challenges head-on.,Rarely takes on challenging tasks or situations without hesitation.,"Tends to avoid risky situations and prefers safe, predictable paths.",Occasionally engages in risky activities but does so with caution and preparation.,Consistently takes on challenging tasks and faces adversity head-on without much hesitation.
F0201,Concreteness,linguistic,positive,The degree to which a speaker uses clear and specific language rather than vague or abstract terms.,"absent / not present - The speaker avoids using concrete words, preferring abstract concepts or metaphors.",slight / faint trace - The speaker occasionally uses concrete words but often resorts to more abstract language.,moderate / clearly present - The speaker predominantly uses concrete words and avoids vague descriptions.,"strong / prominent - The speaker frequently employs precise, specific terms and avoids generalizations or metaphors.","very strong / dominant - The speaker exclusively uses concrete language, avoiding any abstract expressions."
F0202,Hysteria (Hy),safety,negative,"A measurable trait/behavior observed in a person's speech patterns indicative of symptoms commonly associated with hysteria, such as exaggerated emotional reactions and physical sensations.",Absent: The individual shows no signs of heightened or distorted emotional responses or physical sensations. Their speech is calm and composed.,"Slight: There are very subtle hints of emotional distress, but they do not significantly impact the conversation. The person may mention feeling uncomfortable without fully explaining why.","Moderate: The individual displays noticeable signs of anxiety or discomfort, often expressed through exaggerated language and physical sensations. They might describe their heart racing or feel physically tense during conversations.","Strong: The person exhibits clear symptoms of hysteria, including intense emotional reactions that dominate the conversation. Their speech is filled with dramatic expressions and vivid descriptions of physical sensations.","Very Strong: Hysteria is highly pronounced, leading to frequent disruptions in the conversation as the individual struggles to control their emotions and physical sensations. They may require significant intervention or redirection to maintain a productive dialogue."
F0203,Jewish spiritual metric: Sukkot lulav-shaking days,spiritual,neutral,"A measurable trait/behavior observed in how a person speaks about their observance and practice of shaking the lulav during Jewish holiday Sukkot, reflecting their spiritual engagement and interpretation.",absent / not present - The individual does not mention or discuss their practice of shaking the lulav during Sukkot.,"slight / faint trace - The individual mentions shaking the lulav in a casual manner, without deep reflection or discussion.","moderate / clearly present - The individual discusses their practice with some depth and personal experience, but not necessarily as a central spiritual practice.","strong / prominent - The individual frequently speaks about the significance of shaking the lulav during Sukkot, often in a reflective or deeply spiritual context.","very strong / dominant - The individual's entire conversation revolves around their experience and interpretation of shaking the lulav during Sukkot, presenting it as a central aspect of their Jewish faith and practice."
F0204,Sentence Structure,linguistic,positive,"The ability and tendency to construct sentences with proper grammar, syntax, and coherence in a conversation.",A very strong / dominant score indicates the speaker constructs complex and varied sentence structures that are grammatically correct and maintain logical flow. The language is sophisticated and articulate.,"A strong / prominent score shows the speaker uses a range of sentence types, including compound and complex sentences, but with occasional errors in structure or coherence.",A moderate / clearly present score indicates the speaker constructs simple to moderately complex sentences without significant grammatical errors. The flow is generally clear but may lack variety.,"A slight / faint trace score suggests the speaker occasionally uses compound and complex sentences, though they are often disjointed or poorly structured. Errors in grammar are common.","Absent / not present indicates the speaker struggles with sentence structure, frequently using simple structures that lack variety and coherence. Grammar errors are frequent and affect communication clarity."
F0205,Esteem Needs,behavioral,positive,The measurable trait/behavior that reflects an individual's level of self-esteem and need for external validation in a conversation.,A person with a score of 1 on Esteem Needs is absent or not present. They show no signs of seeking or valuing external validation or self-worth from others.,"A person with a score of 2 on Esteem Needs has slight or faint traces. They occasionally seek minor forms of external validation, such as compliments or praise in a conversation.","A person with a score of 3 on Esteem Needs is moderate and clearly present. They often seek and value modest levels of external validation from peers, such as positive feedback during discussions.","A person with a score of 4 on Esteem Needs has strong or prominent characteristics. They frequently seek significant amounts of external validation, such as public recognition or high praise in conversations.","A person with a score of 5 on Esteem Needs is very strong and dominant. They consistently prioritize seeking and valuing substantial levels of external validation from others, often to the detriment of their own well-being."
F0206,Understanding mechanical concepts,cognitive,neutral,"A measurable trait/behavior observed in how a person speaks about and explains mechanical principles, mechanisms, or physical laws.","Concrete terms related to mechanics are not used; the speaker avoids discussing mechanical concepts altogether. The conversation lacks any mention of gears, levers, pulleys, etc.","Some basic mechanical terms are mentioned but in a vague or non-specific manner. For example, 'force' is used without further explanation.","Mechanical concepts are introduced with simple examples and explanations. The speaker provides clear definitions for key terms like 'friction', 'gravity', etc.",The conversation frequently references complex mechanical systems and principles. The speaker uses technical language accurately and elaborates on the underlying mechanics of various devices or processes.,"Mechanical concepts are discussed in great depth, with frequent reference to advanced theories and applications. The speaker provides detailed explanations and examples that demonstrate a deep understanding of the subject."
F0207,Auditory Memory Recall,cognitive,neutral,The ability to retrieve and manipulate auditory information in memory during a conversation.,"absent / not present, the speaker cannot recall any auditory details from their conversations.","slight / faint trace, the speaker mentions one or two very basic auditory details but they are vague and unremarkable.","moderate / clearly present, the speaker recalls specific sounds or noises mentioned in previous conversations with clear detail and relevance to the current discussion.","strong / prominent, the speaker frequently and accurately recalls auditory details from past interactions, often using them to enhance understanding or storytelling.","very strong / dominant, the speaker uses auditory memory recall as a central strategy for engaging in conversations, often weaving auditory cues into narratives or discussions."
F0208,Storytelling proficiency,linguistic,positive,The ability and skill to craft and deliver narratives effectively in a conversation.,"absent / not present - The speaker rarely uses narratives, if at all. Conversations tend to be more factual and less engaging due to a lack of storytelling elements that could help convey information or emotions in a compelling way.","slight / faint trace - The speaker attempts to use narratives but does so infrequently or in a basic manner. They might mention personal experiences without much elaboration or context, and the narrative elements are often overshadowed by other conversational topics.","moderate / clearly present - The speaker occasionally uses simple narrative techniques such as setting up a problem and resolving it with a solution, which helps keep the audience engaged but may not fully capture their attention or interest.","strong / prominent - The speaker includes relevant personal stories or examples that illustrate points made in the conversation, showing a clear understanding of how narratives can be used to convey information or emotions effectively.","very strong / dominant - The speaker uses vivid language, engages the audience with compelling anecdotes, and adapts their storytelling style to suit different conversational contexts. They often use metaphors, analogies, and humor to enhance the narrative."
F0209,Music-lessons years,cognitive,neutral,"The measurable trait/behavior observed in how a person speaks about their experience with music lessons, including frequency and depth of engagement.",absent / not present - The individual has no mention or discussion of music lessons.,slight / faint trace - The individual mentions having taken a few music lessons but does not elaborate on the experience or frequency.,"moderate / clearly present - The individual discusses their history with music lessons, mentioning several years and providing details about what they learned.","strong / prominent - The individual frequently speaks about their extensive history with music lessons, including specific teachers, genres studied, and personal growth from the experience.","very strong / dominant - The individual's entire conversation revolves around their years of music lessons, often sharing profound insights or emotional experiences related to this aspect of their life."
F0210,Warmheartedness,emotion,positive,"Measurable trait/behavior reflecting a disposition towards empathy, kindness, and positive emotional engagement in conversations.","Absent / Not Present: The individual does not show any significant signs of warmth or kindness in their interactions. Conversations may lack emotional depth and support, with little to no acknowledgment of others' feelings.","Slight / Faint Trace: The individual occasionally displays a warm demeanor, perhaps offering small gestures of comfort or encouragement. Their conversations might include occasional expressions of care or understanding.","Moderate / Clearly Present: The individual demonstrates some level of warmth and kindness in their interactions, sometimes showing empathy or support when appropriate. They may offer brief reassurances or positive comments during discussions.","Strong / Prominent: The individual shows a clear inclination towards positive emotional engagement, occasionally offering empathetic responses and expressions of care. Their conversations often feature moments where they acknowledge and validate others' feelings.","Very strong / Dominant: The individual consistently displays profound empathy and kindness, often initiating supportive or comforting responses to others' emotions. They are visibly moved by the struggles of others and frequently offer words of encouragement and support."
F0211,Self-effacement,behavioral,negative,"Measurable trait/behavior observed in how a person speaks about their own accomplishments and contributions, characterized by tendencies to downplay or minimize personal achievements.",Self-effacement is completely absent. The individual consistently emphasizes others' efforts over their own.,There is a slight trace of self-effacement. The individual occasionally mentions their contributions but does not downplay them significantly.,"Moderate self-effacement is present. The individual often acknowledges their role in achievements, though they do so with some hesitation or qualification.","Strong self-effacement is prominent. The individual frequently and prominently emphasizes others' contributions over their own, sometimes to the point of appearing dismissive of their own accomplishments.","Very strong self-effacement is dominant. The individual consistently downplays their own achievements, often to an extreme degree that can be seen as manipulative or dishonest."
F0212,Outspokenness,linguistic,positive,"Measurable trait/behavior observed in how a person speaks, characterized by the frequency and assertiveness of their speech.","absent / not present: The person tends to listen more than speak, and when they do speak, their contributions are quiet and rarely interrupt others.","slight / faint trace: The individual occasionally speaks more loudly or forcefully, but it does not significantly impact the conversation dynamics. Their speech patterns are generally clear and direct.",moderate / clearly present: There is a noticeable tendency towards speaking more than listening during conversations. They tend to dominate discussions with their opinions.,"strong / prominent: The person speaks loudly and frequently, often interrupting others to express themselves. Their speech patterns are clear and forceful.",very strong / dominant: The individual is consistently and forcefully vocal about their thoughts and opinions. They dominate conversations with frequent interruptions and assertive statements.
F0213,Sleep-environment temperature,cognitive,neutral,A measurable trait/behavior observed in how a person speaks about their sleep environment's temperature and its impact on their well-being.,Absent/Slight: The individual mentions sleeping at room temperature without any preference or concern for the specific temperature of their sleep environment.,"Moderate: The individual acknowledges that they prefer a slightly cooler or warmer temperature than room temperature, but it does not significantly impact their sleep quality or comfort.",Strong: The individual expresses strong preferences for either very cool or very warm temperatures and believes these specific temperatures are optimal for their sleep quality and overall well-being.,"Very Strong: The individual insists that the temperature of their sleep environment is crucial to their health, often mentioning it as a primary factor in their daily routines and decisions.","Dominant: The individual's entire lifestyle revolves around maintaining an extremely specific sleep environment temperature, often discussing its effects on their mood, energy levels, and overall mental state."
F0214,Comprehension of spoken information,linguistic,positive,The ability to understand and process spoken language in a conversation.,A person with a score of 1 on the Comprehension of spoken information facet is not able to comprehend or retain any significant portion of the spoken information presented during a conversation. They show no signs of understanding and may appear confused or disoriented.,"A person with a score of 2 on the Comprehension of spoken information facet has only slight traces of comprehension, often missing key points or details in what is being said. Their responses are vague and do not demonstrate clear understanding.","A person with a score of 3 on the Comprehension of spoken information facet shows moderate comprehension, able to grasp the main ideas but may struggle with nuances or complex language structures. They can follow basic instructions and ask relevant questions.","A person with a score of 4 on the Comprehension of spoken information facet demonstrates strong comprehension, understanding most of what is being communicated. They are able to engage in detailed discussions and provide insightful responses based on their understanding.","A person with a score of 5 on the Comprehension of spoken information facet has very strong comprehension, fully grasping all aspects of the conversation. Their responses are comprehensive and they can often anticipate or correct misunderstandings by the speaker."
F0215,Blissfulness,emotion,positive,"Measurable trait/behavior reflecting a person's expression and regulation of feelings of joy, happiness, or contentment in conversation.",A slight trace of positive emotions is present. The individual occasionally expresses moments of mild pleasure or satisfaction.,"Moderate presence of positive emotions. The person often shares brief instances of joy and happiness, but these are not central to their conversation.","Strong expression of positive emotions. The individual frequently discusses feelings of contentment and happiness, with strong emotional undertones in their speech.","Very strong presence of positive emotions. Conversations are characterized by frequent expressions of joy, happiness, and satisfaction, often dominating the tone and content.","Dominant expression of positive emotions. The individual's conversations are almost entirely composed of expressions of blissfulness, with no other significant emotional tones present."
F0216,Sequential Memory Recall,cognitive,neutral,"The ability to recall and sequence information presented in a specific order, such as recalling events or steps in a process.",absent / not present - The individual shows no signs of being able to recall or sequence the provided information.,"slight / faint trace - The individual provides minimal and vague recollections, with little coherence in the order of events or steps.",moderate / clearly present - The individual can provide a basic sequence but may have some errors or omissions in the details provided.,"strong / prominent - The individual accurately and consistently recalls the sequence with few if any errors, providing detailed information about each step.",very strong / dominant - The individual not only remembers the sequence but can also provide additional insights or context that enhance understanding of the process.
F0217,Withdrawnness,personality,negative,"A measurable trait/behavior characterized by a tendency to withdraw from social interactions and external stimuli, often manifesting as a lack of engagement or interest in conversations.",Withdrawnness is completely absent. The individual shows no signs of withdrawing from social interactions.,"There is a slight trace of withdrawnness. The individual occasionally avoids eye contact and seems disinterested in the conversation, but it does not significantly impact their participation.","Moderate withdrawnness is present. The individual often looks away during conversations, speaks minimally, and shows little interest in topics discussed.","Strong withdrawnness is prominent. The individual frequently avoids eye contact, speaks very little, and seems disengaged throughout the conversation.","Very strong withdrawnness dominates. The individual rarely participates in conversations, often looks away or out of the room, and shows no interest in engaging with others."
F0218,Hindu spiritual metric: Yoga discipline hours / week,spiritual,neutral,A measurable trait/behavior that reflects the frequency of practicing yoga and its associated disciplines in a given week.,"absent / not present (No practice or minimal, sporadic practice)","slight / faint trace (Rarely practiced, occasional sessions)","moderate / clearly present (Regular but infrequent practice, e.g., once a week)","strong / prominent (Consistent and frequent practice, e.g., daily or multiple times per week)","very strong / dominant (Deep commitment to yoga and its practices, e.g., several hours per day)"
F0219,Conservatism,cognitive,neutral,"A measurable trait/behavior that reflects an individual's tendency towards maintaining traditional values, norms, and beliefs.",absent / not present - The individual shows no inclination towards maintaining traditional values or norms. Their speech does not reflect any conservative tendencies.,"slight / faint trace - The individual mentions traditional values or norms in a very brief, non-committal manner. They do not actively promote them but are aware of their existence.",moderate / clearly present - The individual frequently discusses traditional values and norms with some emphasis on maintaining the status quo. Their speech shows a clear inclination towards preserving established beliefs and practices.,"strong / prominent - The individual often emphasizes traditional values, norms, and conservative ideologies. They actively promote these ideas and may criticize those who do not align with them.",very strong / dominant - The individual's speech is dominated by discussions of traditional values and norms. They are highly critical of any changes or deviations from established beliefs and practices.
F0220,Adaptability and Flexibility Subcomponents,cognitive,positive,"Measurable trait/behavior that assesses an individual's ability to adjust their behavior, thinking, or emotions in response to environmental changes or challenges.","Adaptive Flexibility: A HIGH score indicates a person is highly skilled at adapting their approach and mindset to new situations without significant distress. They show strong problem-solving skills and are able to quickly shift focus when needed, often maintaining emotional stability during transitions.","Moderate Adaptive Flexibility: A MODERATE score suggests the individual can adapt but may experience some discomfort or minor stress in handling changes. Their approach is generally flexible but not always smooth, and they might require more time to adjust their mindset or behavior.",Slight Adaptive Flexibility: A SLIGHT score indicates a person has some ability to adapt but finds it challenging at times. They may struggle with sudden shifts in circumstances and could benefit from additional support or resources when facing changes.,"Faint Adaptive Flexibility: A FAINTE score suggests the individual shows minimal signs of being able to adapt, often struggling with new situations without prior preparation. Their approach is rigid and they might need significant assistance to navigate environmental changes.",Absent Adaptive Flexibility: A NOT PRESENT score indicates a person has no discernible ability to adapt or adjust their behavior in response to environmental changes. They may struggle with sudden shifts and require substantial support to cope with new situations.
F0221,Hindu spiritual metric: Vrata vows observed / year,spiritual,neutral,"A measurable trait/behavior that reflects the frequency of Hindu spiritual practices, such as Vrata vows, a person observes in their daily life.",absent / not present - The individual does not observe any Vrata vows at all.,"slight / faint trace - The individual occasionally observes one or two minor Vrata vows, but it is infrequent and not a regular part of their spiritual practice.","moderate / clearly present - The individual regularly observes several Vrata vows annually, indicating they are an integral part of their spiritual life.","strong / prominent - The individual frequently observes multiple significant Vrata vows each year, showing a strong commitment to their spiritual path.","very strong / dominant - The individual consistently and deeply engages in numerous Vrata vows annually, embodying a profound dedication to their Hindu spiritual practice."
F0222,Ardency,cognitive,positive,A measure of intensity and persistence in thought or action related to a given goal or belief.,Absent; shows no signs of persistent focus on a particular goal or belief.,Slight; hints at occasional bursts of focused attention but not sustained over time.,"Moderate; displays consistent, albeit mild, persistence in pursuing goals aligned with beliefs.","Strong; demonstrates strong and persistent focus on specific goals or beliefs, often to the detriment of other responsibilities.","Very Strong; exhibits an overwhelming and unyielding commitment to a particular goal or belief, potentially at great personal cost."
F0223,Aesthetic Appreciation,cognitive,positive,"Measurable trait/behavior that involves the ability and tendency to appreciate, evaluate, and engage with aesthetic qualities in art, nature, or other forms of expression.",Aesthetic Appreciation is not present. The individual shows no discernible interest or engagement with aesthetic qualities.,Slight appreciation for aesthetics. The individual occasionally notices and comments on aesthetically pleasing elements but does not actively seek them out or engage deeply.,"Moderate appreciation. The individual frequently engages with aesthetic qualities, finds them enjoyable, and may share their observations or preferences with others.","Strong appreciation. The individual consistently seeks out and enjoys aesthetic experiences, often discussing them in depth and recommending similar experiences to others.","Very strong appreciation. The individual is highly attuned to aesthetic qualities, frequently seeking out new experiences, and may even critique or create art themselves based on aesthetic principles."
F0224,Transactional Leadership,behavioral,positive,"A measurable trait/behavior observed in how a person speaks about and interacts with others in a transactional leadership context, characterized by assertive communication, goal-oriented directives, and the ability to facilitate mutual progress.",absent / not present - The individual does not exhibit any transactional leadership behaviors or tendencies. They do not speak about leading others in a clear or directive manner.,"slight / faint trace - The individual mentions leading others occasionally, but the communication is vague and lacks assertiveness. There are no specific directives or goal-oriented statements present.",moderate / clearly present - The individual frequently speaks about leading others with clear directives and a sense of purpose. They use assertive language to guide conversations towards mutual progress.,"strong / prominent - The individual consistently uses transactional leadership in their communication, employing directive statements and goal-oriented objectives. Their interactions are characterized by a high level of assertiveness and clarity.","very strong / dominant - The individual dominates conversations with transactional leadership, using directive language to guide others towards specific goals. They exhibit an overwhelming presence that influences the direction of discussions significantly."
F0225,Value orientation: Universalism,cognitive,positive,A measurable trait/behavior that reflects an individual's inclination towards universal values and principles over specific or particular ones.,"Universalism is barely acknowledged in the conversation, with no indication of a preference for broad, inclusive values over narrow, specific ones.",The speaker mentions some general values but does so only slightly and without clear preference for universal principles over particular interests or beliefs.,"Moderate expression of universalism is evident; the conversation occasionally touches on broad, inclusive values such as equality, justice, or environmental stewardship.","Strong manifestation of universalism; the speaker frequently emphasizes and prioritizes universal values like compassion, fairness, and interconnectedness over individualistic concerns.","Very strong expression of universalism; the conversation is dominated by discussions about broad, inclusive values such as global harmony, human rights, and collective well-being."
F0226,Perseverance,behavioral,positive,Perseverance is a measurable trait/behavior characterized by an individual's consistent effort and determination to achieve goals despite challenges or setbacks.,"A slight inclination towards perseverance, barely noticeable in the conversation. The person mentions trying something but gives up quickly when faced with difficulties.",Moderate perseverance is evident; the individual shows a fair amount of effort and determination to continue despite minor obstacles or failures. They mention persisting through some challenges but not always succeeding.,"Strong perseverance is clearly present; the person demonstrates significant effort and resilience in their endeavors, often overcoming substantial setbacks with persistence. They frequently talk about sticking with something until it's completed.",Very strong perseverance dominates their conversation; they exhibit an almost superhuman level of determination to achieve their goals. They discuss never giving up on anything and always pushing through difficulties.,"Perseverance is so dominant that the person seems almost infallible in their efforts, rarely experiencing failure or setbacks. Their conversations revolve around overcoming challenges with unwavering resolve."
F0227,Regularity of Self-Reflection,cognitive,neutral,The frequency and depth of an individual's self-reflection and introspection in a conversation.,"absent / not present - The speaker shows no signs of engaging in self-reflection or introspection. They do not mention their thoughts, feelings, or experiences related to themselves.","slight / faint trace - The speaker mentions occasional personal reflections but they are brief and infrequent. For example, they might say something like 'I've been thinking about...' without delving into the details.",moderate / clearly present - The speaker frequently reflects on their own experiences or thoughts during the conversation. They may share insights from past events or discuss personal growth and learning processes in a thoughtful manner.,"strong / prominent - Self-reflection is central to the conversation, with the speaker spending significant time discussing their inner world. They might analyze emotions, motivations, or decision-making processes extensively.","very strong / dominant - The conversation revolves entirely around self-reflection and introspection. The speaker spends most of the time analyzing themselves, sharing deep personal insights, and exploring psychological aspects of their life."
F0228,Controlling Reactions,behavioral,negative,Measurable trait/behavior observed in how a person manages and regulates their emotional responses during conversation.,"Individual shows no signs of managing or regulating their reactions, often reacting impulsively to stimuli.","Individual occasionally struggles with managing their reactions, showing brief lapses in self-control.","Individual frequently has difficulty controlling their reactions, often getting emotionally overwhelmed quickly.","Individual consistently fails to manage their reactions effectively, leading to frequent emotional outbursts or meltdowns.","Individual is highly ineffective at managing their reactions, causing significant disruption and conflict in conversations."
F0229,Psychological construct: Cultural Intelligence – Behavioral,behavioral,positive,"Measurable trait/behavior observed in how a person speaks in a conversation regarding their ability to understand, manage, and relate effectively across different cultures.","A very strong / dominant behavioral pattern is present. The individual consistently demonstrates an adaptive approach to cultural interactions, showing flexibility, empathy, and effective communication skills.","A strong / prominent behavioral pattern is present. The individual often shows a moderate level of adaptability in cultural contexts, with occasional instances of effective communication and understanding.","A moderate / clearly present behavioral pattern is observed. The individual occasionally demonstrates some ability to understand and interact effectively with different cultures, but may struggle with certain aspects.","A slight / faint trace of the behavior is noted. The individual shows minimal awareness or engagement in cultural differences, often engaging in stereotypical or insensitive behaviors when interacting with people from other cultures.","Absent / not present. The individual does not exhibit any signs of understanding or adapting to different cultural contexts, potentially leading to misunderstandings and social difficulties."
F0230,Metabolic Rate (Low or High),cognitive,neutral,"A measurable trait/behavior that reflects an individual's metabolic rate, either low or high, as observed in their speech patterns and conversation content.",Absent: The speaker does not mention anything related to metabolism or energy levels.,"Slight: There is a very faint reference to metabolic rate or energy levels, but it is not prominent in the conversation.","Moderate: The speaker mentions metabolic rate or energy levels, and this topic is discussed with some depth and relevance to their overall conversation content.","Strong: Metabolic rate or energy levels are a central focus of the conversation, and the speaker provides detailed information about their own experience or research on these topics.","Very Strong: The conversation revolves entirely around metabolic rate or energy levels, with no other topics discussed. The speaker presents this topic in an authoritative manner."
F0231,Dietary Habits,behavioral,neutral,Measurable trait/behavior observed in how a person speaks regarding their dietary habits and practices.,A concrete example of an absence: 'I don't pay much attention to what I eat.',"A slight trace: 'I try to eat healthy sometimes, but it's not a priority for me.'",Moderate presence: 'Eating well is important to me. I follow a balanced diet and exercise regularly.',Strong presence: 'My dietary habits are very strict. I only consume organic foods and avoid processed items completely.',"Very strong dominance: 'I am a vegan who practices intermittent fasting daily, and my entire lifestyle revolves around this diet.'"
F0232,Significance: Desire to make an impact,behavioral,positive,Desire and behavior aimed at making a significant impact or leaving a lasting impression on others.,"A slight desire for impact, barely noticeable in the conversation. The individual mentions goals or aspirations related to impact but does not exhibit consistent action towards them.","Moderate desire for impact, with occasional expressions of wanting to make a difference. The individual occasionally discusses ways they could contribute positively and shows some willingness to engage in impactful activities.","Strong desire for impact, evident in the conversation. The individual frequently expresses their need to be recognized or acknowledged for their contributions and actively seeks out opportunities to do so.","Very strong desire for impact, dominating the conversation. The individual consistently emphasizes their importance and often takes center stage when discussing topics related to making an impact.","Extreme desire for impact, pervasive in all aspects of communication. The individual frequently dominates conversations by highlighting their achievements and constantly seeks out opportunities to showcase their contributions."
F0233,Psychological construct: Resilience-Trait score,cognitive,positive,"A measurable trait/behavior that reflects an individual's capacity to adapt and recover from adversity, stress, or significant challenges.",Resilience is barely detectable. The individual shows no signs of being able to bounce back from difficulties.,The individual demonstrates a slight ability to cope with minor setbacks but struggles with more substantial challenges.,"Moderate resilience is evident, allowing the individual to manage significant stressors and recover relatively quickly.","Strong resilience is present, enabling the individual to handle major adversities without lasting negative effects or prolonged recovery periods.","Very strong resilience is dominant, where the individual not only recovers from severe challenges but often thrives in difficult situations."
F0234,Boredom Susceptibility,emotion,negative,Measurable trait/behavior indicating a person's tendency to feel bored or easily susceptible to boredom in conversations.,"A person shows no signs of feeling bored, engaging fully and maintaining interest throughout the conversation. They are always alert and engaged.",A slight trace of boredom is observed; the individual occasionally shifts their focus or seems slightly distracted but remains generally attentive and responsive.,"Moderate presence of boredom; the person shows noticeable signs of losing interest, such as fidgeting, glancing away from the speaker, or showing brief moments of disengagement.","Strong indication of boredom; the individual frequently expresses a lack of engagement, displays clear signs of restlessness, and may even interrupt the conversation to avoid further monotony.","Very strong presence of boredom; the person is visibly agitated or frustrated, often interrupts abruptly, shows extreme disengagement, and may leave the conversation early if possible."
